year,gor,region,e7_meters,standard_meters,domestic_meters,non_domestic_meters,total_meters,e7_sales_gwh,standard_sales_gwh,domestic_sales_gwh,non_domestic_sales_gwh,total_gwh,e7_mean_kwh,e7_median_kwh,standard_mean_kwh,standard_median_kwh,domestic_mean_kwh,domestic_median_kwh,non_domestic_mean_kwh,non_domestic_median_kwh,all_mean_kwh,all_median_kwh,avg_per_hhld_kwh
2005,E12000006,East,0,0,2440.15,218.02,2658.17,0,0,12081.16,17191.94,29273.1,0,0,0,0,4951,0,78854,0,0,0,0
2005,E12000004,East Midlands,0,0,1911.4,161.38,2072.78,0,0,8643.94,15294.28,23938.22,0,0,0,0,4522,0,94773,0,0,0,0
2005,E12000007,London,0,0,3248.59,421.08,3669.67,0,0,13885.21,27549.65,41434.86,0,0,0,0,4274,0,65426,0,0,0,0
2005,E12000001,North East,0,0,1170.12,82.18,1252.3,0,0,4548.26,9348.76,13897.02,0,0,0,0,3887,0,113757,0,0,0,0
2005,E12000002,North West,0,0,2910.57,236.81,3147.38,0,0,13177.3,23114.73,36292.03,0,0,0,0,4527,0,97610,0,0,0,0
2005,E12000008,South East,0,0,3551.82,339.9,3891.73,0,0,17357.61,24399.77,41757.38,0,0,0,0,4887,0,71785,0,0,0,0
2005,E12000009,South West,0,0,2297.78,242.47,2540.25,0,0,11455.26,15811.55,27266.82,0,0,0,0,4985,0,65211,0,0,0,0
2005,E12000005,West Midlands,0,0,2130.54,186.59,2317.13,0,0,10315.15,16938.71,27253.86,0,0,0,0,4842,0,90779,0,0,0,0
2005,E12000003,Yorkshire And The Humber,0,0,2269,181.09,2450.1,0,0,9803.55,17032.07,26835.62,0,0,0,0,4321,0,94052,0,0,0,0
2005,W92000004,Wales,0,0,1316.723,128.443,1445.166,0,0,5655.513,11911.63,17567.15,0,0,0,0,4295,0,92739,0,0,0,0
2006,E12000006,East,0,0,2456.87,217.37,2674.23,0,0,11973.36,16827.19,28800.55,0,0,0,0,4873,0,77414,0,0,0,0
2006,E12000004,East Midlands,0,0,1927.68,161.29,2088.96,0,0,8510.22,14989.15,23499.37,0,0,0,0,4415,0,92934,0,0,0,0
